N,S,code
291,"221,253.80",11010
367,"220,786",11020
333,"364,162.70",11030
377,"296,432.60",11040
231,"285,478.90",11050
305,"411,605",11060
285,"530,346.40",11070
268,"310,681.90",11080
165,"127,197.40",11090
309,"242,566.60",11100
350,"595,573.40",11110
202,"373,448",11120
209,"564,064.40",11130
358,"931,253.20",11140
221,"506,285.50",11150
284,"1,199,463.90",11160
353,"574,888.80",11170
174,"311,741.30",11180
350,"726,243.50",11190
216,"268,717.60",11200
242,"192,700.50",11210
262,"1,289,266.30",11220
337,"1,387,587.60",11230
304,"913,719.20",11240
253,"534,946.20",11250
