¿©¼º¾È½É±Í»ç½ºÄ«¿ìÆ® ±Í°¡Áö¿ø ½ÇÀû,,,,,,,
±¸ºÐ,ºÏ¾ÆÇö,³²°¡ÁÂ,¿¬Èñ,½ÅÃÌ,È«Àº1,È«Àº2,È«Á¦
ÀÏ½Ã/°è,266,369,209,573,350,300,576
14.4.1,2,1,,2,8,,
14.4.2,3,1,4,4,8,1,5
14.4.3,4,1,3,5,4,3,6
14.4.4,4,1,2,4,7,3,6
14.4.7.,2,2,2,5,6,4,7
14.4.8.,3,,3,3,3,2,11
14.4.9.,3,,2,5,6,1,9
14.4.10.,4,2,3,5,6,2,6
14.4.11.,3,3,2,2,6,2,4
14.4.14,2,1,1,5,4,3,7
14.4.15,4,1,3,7,4,4,8
14.4.16,3,2,2,6,4,3,6
14.4.17,2,3,3,3,3,8,8
14.4.18,2,3,2,6,3,3,5
14.4.21,4,3,2,7,3,2,4
14.4.22,2,3,3,7,4,3,6
14.4.23,4,4,3,7,3,2,6
14.4.24,3,4,3,5,4,2,5
14.4.25,4,4,3,8,4,4,8
14.4.28,4,4,3,8,4,4,8
14.4.29,2,3,2,5,2,3,8
14.4.30,3,5,2,7,2,3,5
14.5.1,1,5,3,6,3,2,7
14.5.2,2,4,1,7,2,4,4
14.5.7,2,4,3,8,0,2,2
14.5.8,2,1,2,7,6,2,8
14.5.9,3,6,2,7,4,3,8
14.5.12,5,7,3,9,4,3,7
14.5.13,4,7,3,8,4,3,7
14.5.14,4,7,3,7,6,2,9
14.5.15,3,4,2,9,7,5,5
14.5.16,3,4,2,6,2,3,7
14.5.19,4,5,2,8,4,3,7
14.5.20,2,7,2,9,3,3,8
14.5.21,2,7,3,8,3,5,8
14.5.22,2,7,2,9,3,3,8
14.5.23,2,7,3,8,3,5,8
14.5.26,4,4,2,6,3,3,5
14.5.27,4,5,3,7,5,4,7
14.5.28,2,3,2,7,4,3,8
14.5.29,4,8,3,8,5,4,8
14.5.30,3,4,3,7,3,3,7
14.6.2,3,4,3,7,3,3,7
14.6.3,2,5,3,6,2,3,7
14.6.4,3,5,3,8,0,3,6
14.6.5,1,2,3,7,4,3,6
14.6.9,4,4,3,7,1,4,7
14.6.10,1,2,4,2,1,1,3
14.6.11,4,4,2,3,3,2,4
14.6.12,2,3,2,7,4,3,6
14.6.13,3,4,3,8,3,3,8
14.6.16,4,4,3,6,1,5,6
14.6.17,2,5,3,7,3,6,8
14.6.18,3,4,3,6,6,5,7
14.6.19,5,5,2,7,5,7,6
14.6.20,3,7,2,4,4,2,6
14.6.23,5,4,2,5,6,4,7
14.6.24,5,7,3,7,5,4,8
14.6.25,2,3,1,5,5,4,7
14.6.26,3,2,2,6,5,5,8
14.6.27,4,6,4,4,6,3,8
14.6.30,3,6,3,5,3,4,7
14.7.1,5,4,4,5,4,4,7
14.7.2,0,4,0,4,3,2,3
14.7.3,2,4,2,4,5,2,8
14.7.4,4,4,2,5,5,3,6
14.7.7,2,2,1,7,3,2,8
14.7.8,1,4,1,7,3,4,4
14.7.9,2,6,1,5,4,3,8
14.7.10,3,3,1,6,4,3,6
14.7.11,3,5,2,5,4,2,7
14.7.14,3,4,1,5,5,4,7
14.7.15,5,5,1,6,4,3,6
14.7.16,4,3,3,7,5,4,6
14.7.17,3,3,2,5,3,4,5
14.7.18,1,5,2,4,4,5,6
14.7.21,1,5,1,7,4,3,5
14.7.22,2,4,2,6,1,3,3
14.7.23,2,5,1,3,2,2,3
14.7.24,3,5,3,2,3,4,3
14.7.25,2,3,2,4,0,3,6
14.7.28,3,1,1,6,3,3,4
14.7.29,2,7,2,7,3,3,5
14.7.30,1,7,2,7,4,3,4
14.7.31,2,2,4,6,1,2,4
14.8.1,3,2,2,5,2,0,3
14.8.4,,2,2,7,3,3,5
14.8.5,2,2,1,7,3,2,4
14.8.6,4,4,1,5,3,3,6
14.8.7,1,1,1,7,4,2,3
14.8.8,5,2,1,6,3,5,4
14.8.11,2,4,1,6,3,3,4
14.8.12,2,6,1,7,3,3,4
14.8.13,1,4,1,7,4,3,6
14.8.14,3,4,1,9,3,4,5
