Sido,Sigun,id,2014_scouter,2015_scouter,2016_scouter,2017_scouter
서울,종로구,11110,28,19,21,11
서울,중구,11140,,11,7,
서울,용산구,11170,16,11,11,13
서울,성동구,11200,16,15,17,23
서울,광진구,11215,16,13,11,11
서울,동대문구,11230,,11,13,
서울,중랑구,11260,17,13,17,13
서울,성북구,11290,,15,13,
서울,강북구,11305,20,19,23,23
서울,도봉구,11320,,15,11,
서울,노원구,11350,,13,13,
서울,은평구,11380,,19,19,
서울,서대문구,11410,28,15,15,21
서울,마포구,11440,28,13,7,7
서울,양천구,11470,15,13,13,13
서울,강서구,11500,16,11,7,15
서울,구로구,11530,20,26,23,23
서울,금천구,11545,16,26,26,25
서울,영등포구,11560,,26,24,
서울,동작구,11590,13,19,21,25
서울,관악구,11620,,25,24,
서울,서초구,11650,,25,28,
서울,강남구,11680,16,13,7,11
서울,송파구,11710,,19,28,
서울,강동구,11740,27,15,21,25
