관서,주소,홈페이지
서울지방경찰청,서울시 종로구 사직로8길 31,http://www.smpa.go.kr/
서울강남경찰서,서울시 강남구 테헤란로 113길 12,http://www.smpa.go.kr/gn/
서울강동경찰서,서울시 강동구 성내로 33,http://www.smpa.go.kr/gd/
서울강북경찰서,서울시 강북구 오패산로 406,http://www.smpa.go.kr/gb/
서울강서경찰서,서울시 강서구 화곡로 308,http://www.smpa.go.kr/gs/
서울관악경찰서,서울시 관악구 관악로5길 33,http://www.smpa.go.kr/ga/
서울광진경찰서,서울시 광진구 광나루로 441,http://www.smpa.go.kr/gj/
서울구로경찰서,서울시 구로구 가마산로 235,http://www.smpa.go.kr/gr/
서울금천경찰서,서울시 관악구 남부순환로 1435,http://www.smpa.go.kr/gc/
서울남대문경찰서,서울시 중구 한강대로 410,http://www.smpa.go.kr/ndm/
서울노원경찰서,서울시 노원구 노원로 283,http://www.smpa.go.kr/nw/
서울도봉경찰서,서울시 도봉구 노해로 403,http://www.smpa.go.kr/db/
서울동대문경찰서,서울시 동대문구 약령시로21길 29,http://www.smpa.go.kr/ddm/
서울동작경찰서,서울시 동작구 노량진로 148,http://www.smpa.go.kr/dj/
서울마포경찰서,서울시 마포구 마포대로 183,http://www.smpa.go.kr/mp/
서울방배경찰서,서울시 서초구 방배천로 54,http://www.smpa.go.kr/bb/
서울서대문경찰서,서울 서대문구 통일로 113,http://www.smpa.go.kr/sdm/
서울서부경찰서,서울시 은평구 은평로9길 15,http://www.smpa.go.kr/seobu/
서울서초경찰서,서울시 서초구 반포대로 179,http://www.smpa.go.kr/sc/
서울성동경찰서,서울시 성동구 왕십리광장로 9,http://www.smpa.go.kr/sd/
서울성북경찰서,서울 성북구 보문로 170,http://www.smpa.go.kr/sb/
서울송파경찰서,서울시 송파구 중대로 221,http://www.smpa.go.kr/sp/
서울수서경찰서,서울시 강남구 개포로 617,http://www.smpa.go.kr/ss/
서울양천경찰서,서울시 양천구 목동동로 99,http://www.smpa.go.kr/yc/
서울영등포경찰서,서울시 영등포구 국회대로 608,http://www.smpa.go.kr/ydp/
서울용산경찰서,서울시 용산구 원효로89길 24,http://www.smpa.go.kr/ys/
서울은평경찰서,서울시 은평구 연서로 365,http://www.smpa.go.kr/ep/
서울종로경찰서,서울시 종로구 율곡로 46,http://www.smpa.go.kr/jn/
서울종암경찰서,서울시 성북구 종암로 135,http://www.smpa.go.kr/ca/
서울중랑경찰서,울시 중랑구 신내역로3길 40-10,http://www.smpa.go.kr/jnp/
서울중부경찰서,서울시 중구 수표로 27,http://www.smpa.go.kr/cb/
서울혜화경찰서,서울시 종로구 창경궁로 112-16,http://www.smpa.go.kr/hh/
